model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,832,original,291,2,endorsementLine,2.860,74.09% vs 25.91%,2.26e-115,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,622,original,425,2,addExample,1.460,59.41% vs 40.59%,7.30e-18,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,539,original,400,2,fusion,1.350,57.40% vs 42.60%,1.41e-10,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,546,original,581,2,tie,1.060,48.45% vs 51.55%,1.40e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,551,original,524,2,tie,1.050,51.26% vs 48.74%,2.44e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeCasual,570,original,553,2,tie,1.030,50.76% vs 49.24%,4.73e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeProfessional,567,original,553,2,tie,1.030,50.62% vs 49.38%,5.54e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,569,original,556,2,tie,1.020,50.58% vs 49.42%,5.84e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,numbersLine,557,original,566,2,tie,1.020,49.60% vs 50.40%,7.04e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,736,makeProfessional,390,2,endorsementLine,1.890,65.36% vs 34.64%,3.65e-48,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,673,companyName,371,2,addExample,1.810,64.46% vs 35.54%,6.89e-40,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,401,endorsementLine,724,2,endorsementLine,1.810,35.64% vs 64.36%,3.09e-42,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,681,increaseLength,389,2,endorsementLine,1.750,63.64% vs 36.36%,1.55e-36,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,707,maintenanceLine,417,2,endorsementLine,1.700,62.90% vs 37.10%,2.07e-34,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,696,numbersLine,426,2,endorsementLine,1.630,62.03% vs 37.97%,4.21e-30,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,648,numbersLine,404,2,addExample,1.600,61.60% vs 38.40%,1.96e-26,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,687,makeCasual,440,2,endorsementLine,1.560,60.96% vs 39.04%,2.35e-25,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,635,maintenanceLine,414,2,addExample,1.530,60.53% vs 39.47%,4.92e-22,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,634,makeProfessional,415,2,addExample,1.530,60.44% vs 39.56%,1.15e-21,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,641,makeCasual,424,2,addExample,1.510,60.19% vs 39.81%,5.27e-21,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,607,increaseLength,404,2,addExample,1.500,60.04% vs 39.96%,1.73e-19,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,548,increaseLength,367,2,fusion,1.490,59.89% vs 40.11%,2.62e-17,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,559,makeProfessional,388,2,fusion,1.440,59.03% vs 40.97%,3.89e-15,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,551,makeCasual,391,2,fusion,1.410,58.49% vs 41.51%,1.68e-13,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,536,maintenanceLine,398,2,fusion,1.350,57.39% vs 42.61%,1.70e-10,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,394,fusion,524,2,fusion,1.330,42.92% vs 57.08%,1.30e-09,True
Qwen_Qwen2.5-1.5B-Instruct-FC,addExample,468,endorsementLine,588,2,endorsementLine,1.260,44.32% vs 55.68%,1.77e-07,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,430,fusion,517,2,fusion,1.200,45.41% vs 54.59%,6.38e-05,True
Qwen_Qwen2.5-1.5B-Instruct-FC,endorsementLine,506,fusion,426,2,endorsementLine,1.190,54.29% vs 45.71%,2.11e-04,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,500,increaseLength,573,2,increaseLength,1.150,46.60% vs 53.40%,1.62e-03,True
Qwen_Qwen2.5-1.5B-Instruct-FC,fusion,496,numbersLine,436,2,fusion,1.140,53.22% vs 46.78%,5.45e-03,True
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,534,makeCasual,586,2,tie,1.100,47.68% vs 52.32%,2.80e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,536,makeProfessional,589,2,tie,1.100,47.64% vs 52.36%,2.54e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,521,makeCasual,571,2,tie,1.100,47.71% vs 52.29%,3.24e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,539,numbersLine,589,2,tie,1.090,47.78% vs 52.22%,3.53e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,517,makeProfessional,561,2,tie,1.090,47.96% vs 52.04%,5.81e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,563,numbersLine,517,2,tie,1.090,52.13% vs 47.87%,4.78e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeProfessional,587,numbersLine,541,2,tie,1.090,52.04% vs 47.96%,5.28e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,companyName,538,maintenanceLine,580,2,tie,1.080,48.12% vs 51.88%,7.57e-02,False
Qwen_Qwen2.5-1.5B-Instruct-FC,increaseLength,561,maintenanceLine,529,2,tie,1.060,51.47% vs 48.53%,1.70e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,544,makeCasual,576,2,tie,1.060,48.57% vs 51.43%,1.76e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeCasual,579,numbersLine,546,2,tie,1.060,51.47% vs 48.53%,1.64e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,575,numbersLine,551,2,tie,1.040,51.07% vs 48.93%,3.12e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,maintenanceLine,555,makeProfessional,578,2,tie,1.040,48.98% vs 51.02%,3.34e-01,False
Qwen_Qwen2.5-1.5B-Instruct-FC,makeCasual,558,makeProfessional,568,2,tie,1.020,49.56% vs 50.44%,6.73e-01,False
