model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1101,original,59,2,endorsementLine,18.660,94.91% vs 5.09%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1038,original,69,2,fusion,15.040,93.77% vs 6.23%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,900,original,254,2,maintenanceLine,3.540,77.99% vs 22.01%,2.63e-159,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,754,original,390,2,addExample,1.930,65.91% vs 34.09%,2.62e-52,True
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,632,original,505,2,increaseLength,1.250,55.58% vs 44.42%,1.00e-07,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,598,original,559,2,tie,1.070,51.69% vs 48.31%,1.05e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,590,original,568,2,tie,1.040,50.95% vs 49.05%,3.61e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,numbersLine,592,original,569,2,tie,1.040,50.99% vs 49.01%,3.40e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,580,original,581,2,tie,1.000,49.96% vs 50.04%,9.67e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1065,makeProfessional,60,2,fusion,17.750,94.67% vs 5.33%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1089,maintenanceLine,65,2,endorsementLine,16.750,94.37% vs 5.63%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1060,makeCasual,64,2,fusion,16.560,94.31% vs 5.69%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,67,endorsementLine,1094,2,endorsementLine,16.330,5.77% vs 94.23%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1091,makeProfessional,67,2,endorsementLine,16.280,94.21% vs 5.79%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1036,increaseLength,70,2,fusion,14.800,93.67% vs 6.33%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1084,numbersLine,78,2,endorsementLine,13.900,93.29% vs 6.71%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,77,fusion,1055,2,fusion,13.700,6.80% vs 93.20%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,1061,makeCasual,90,2,endorsementLine,11.790,92.18% vs 7.82%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1006,numbersLine,104,2,fusion,9.670,90.63% vs 9.37%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,fusion,1001,maintenanceLine,111,2,fusion,9.020,90.02% vs 9.98%,0.00e+00,True
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,981,increaseLength,159,2,endorsementLine,6.170,86.05% vs 13.95%,9.04e-260,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,165,fusion,925,2,fusion,5.610,15.14% vs 84.86%,1.79e-232,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,188,endorsementLine,940,2,endorsementLine,5.000,16.67% vs 83.33%,4.73e-220,True
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,771,makeProfessional,383,2,maintenanceLine,2.010,66.81% vs 33.19%,1.09e-58,True
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,754,makeCasual,400,2,maintenanceLine,1.890,65.34% vs 34.66%,3.72e-49,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,733,increaseLength,391,2,addExample,1.870,65.21% vs 34.79%,3.53e-47,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,718,companyName,406,2,addExample,1.770,63.88% vs 36.12%,1.47e-39,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,715,makeCasual,426,2,addExample,1.680,62.66% vs 37.34%,1.06e-33,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,701,makeProfessional,434,2,addExample,1.620,61.76% vs 38.24%,3.72e-29,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,668,numbersLine,466,2,addExample,1.430,58.91% vs 41.09%,2.19e-17,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,481,maintenanceLine,679,2,maintenanceLine,1.410,41.47% vs 58.53%,2.01e-16,True
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,490,maintenanceLine,651,2,maintenanceLine,1.330,42.94% vs 57.06%,1.58e-11,True
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,611,makeCasual,531,2,increaseLength,1.150,53.50% vs 46.50%,8.14e-04,True
Qwen_Qwen2.5-7B-Instruct-FC,addExample,531,maintenanceLine,601,2,maintenanceLine,1.130,46.91% vs 53.09%,3.26e-03,True
Qwen_Qwen2.5-7B-Instruct-FC,companyName,549,numbersLine,605,2,tie,1.100,47.57% vs 52.43%,1.97e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,543,increaseLength,589,2,tie,1.080,47.97% vs 52.03%,5.32e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,maintenanceLine,601,numbersLine,558,2,tie,1.080,51.86% vs 48.14%,7.41e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,endorsementLine,542,fusion,581,2,tie,1.070,48.26% vs 51.74%,9.98e-02,False
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,581,makeProfessional,554,2,tie,1.050,51.19% vs 48.81%,2.57e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,increaseLength,575,numbersLine,552,2,tie,1.040,51.02% vs 48.98%,3.33e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,574,numbersLine,586,2,tie,1.020,49.48% vs 50.52%,6.18e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeProfessional,574,numbersLine,586,2,tie,1.020,49.48% vs 50.52%,6.18e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,579,makeCasual,574,2,tie,1.010,50.22% vs 49.78%,8.35e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,makeCasual,576,makeProfessional,581,2,tie,1.010,49.78% vs 50.22%,8.35e-01,False
Qwen_Qwen2.5-7B-Instruct-FC,companyName,579,makeProfessional,579,2,tie,1.000,50.00% vs 50.00%,1.00e+00,False
