model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1181,original,2,2,endorsementLine,590.500,99.83% vs 0.17%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1102,original,9,2,fusion,122.440,99.19% vs 0.81%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,1115,original,171,2,maintenanceLine,6.520,86.70% vs 13.30%,2.43e-303,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,817,original,343,2,addExample,2.380,70.43% vs 29.57%,3.09e-86,True
Qwen_Qwen2.5-14B-Instruct-FC,increaseLength,670,original,526,2,increaseLength,1.270,56.02% vs 43.98%,3.89e-09,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,652,original,758,2,original,1.160,46.24% vs 53.76%,6.55e-05,True
Qwen_Qwen2.5-14B-Instruct-FC,numbersLine,711,original,757,2,tie,1.060,48.43% vs 51.57%,8.95e-02,False
Qwen_Qwen2.5-14B-Instruct-FC,makeProfessional,705,original,715,2,tie,1.010,49.65% vs 50.35%,7.07e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,makeCasual,685,original,683,2,tie,1.000,50.07% vs 49.93%,9.39e-01,False
Qwen_Qwen2.5-14B-Instruct-FC,companyName,10,endorsementLine,1181,2,endorsementLine,118.100,0.84% vs 99.16%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1183,numbersLine,12,2,endorsementLine,98.580,99.00% vs 1.00%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,13,fusion,1121,2,fusion,86.230,1.15% vs 98.85%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1121,makeCasual,13,2,fusion,86.230,98.85% vs 1.15%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1130,makeProfessional,16,2,fusion,70.620,98.60% vs 1.40%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1119,numbersLine,16,2,fusion,69.940,98.59% vs 1.41%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1174,makeCasual,17,2,endorsementLine,69.060,98.57% vs 1.43%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1168,makeProfessional,19,2,endorsementLine,61.470,98.40% vs 1.60%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1107,maintenanceLine,22,2,fusion,50.320,98.05% vs 1.95%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1115,increaseLength,51,2,endorsementLine,21.860,95.63% vs 4.37%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,1149,maintenanceLine,54,2,endorsementLine,21.280,95.51% vs 4.49%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,52,fusion,1079,2,fusion,20.750,4.60% vs 95.40%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,55,endorsementLine,1092,2,endorsementLine,19.850,4.80% vs 95.20%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,fusion,1063,increaseLength,57,2,fusion,18.650,94.91% vs 5.09%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,163,maintenanceLine,1120,2,maintenanceLine,6.870,12.70% vs 87.30%,0.00e+00,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,983,makeCasual,335,2,maintenanceLine,2.930,74.58% vs 25.42%,1.37e-140,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,1009,makeProfessional,346,2,maintenanceLine,2.920,74.46% vs 25.54%,4.05e-143,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,825,companyName,349,2,addExample,2.360,70.27% vs 29.73%,6.18e-86,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,772,makeCasual,403,2,addExample,1.920,65.70% vs 34.30%,2.46e-52,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,782,numbersLine,412,2,addExample,1.900,65.49% vs 34.51%,8.42e-52,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,775,makeProfessional,415,2,addExample,1.870,65.13% vs 34.87%,2.71e-49,True
Qwen_Qwen2.5-14B-Instruct-FC,addExample,706,increaseLength,427,2,addExample,1.650,62.31% vs 37.69%,9.82e-32,True
Qwen_Qwen2.5-14B-Instruct-FC,maintenanceLine,938,numbersLine,599,2,maintenanceLine,1.570,61.03% vs 38.97%,2.19e-34,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,497,increaseLength,703,2,increaseLength,1.410,41.42% vs 58.58%,4.10e-17,True
Qwen_Qwen2.5-14B-Instruct-FC,endorsementLine,482,fusion,667,2,fusion,1.380,41.95% vs 58.05%,1.18e-14,True
Qwen_Qwen2.5-14B-Instruct-FC,companyName,647,numbersLine,871,2,numbersLine,1.350,42.62% vs 57.38%,4.27e-16,True
