model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,101,original,9,2,endorsementLine,11.220,91.82% vs 8.18%,2.45e-35,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,455,original,59,2,fusion,7.710,88.52% vs 11.48%,1.02e-134,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,167,original,34,2,maintenanceLine,4.910,83.08% vs 16.92%,3.60e-40,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,410,original,150,2,addExample,2.730,73.21% vs 26.79%,1.92e-54,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,115,original,50,2,companyName,2.300,69.70% vs 30.30%,8.29e-13,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,278,original,169,2,increaseLength,1.640,62.19% vs 37.81%,3.08e-13,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,numbersLine,151,original,110,2,numbersLine,1.370,57.85% vs 42.15%,3.32e-04,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeCasual,141,original,177,2,original,1.260,44.34% vs 55.66%,4.30e-03,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeProfessional,143,original,166,2,tie,1.160,46.28% vs 53.72%,6.43e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,160,makeProfessional,16,2,endorsementLine,10.000,90.91% vs 9.09%,3.52e-53,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,164,makeCasual,17,2,endorsementLine,9.650,90.61% vs 9.39%,7.28e-54,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,465,makeProfessional,70,2,fusion,6.640,86.92% vs 13.08%,7.29e-129,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,466,makeCasual,79,2,fusion,5.900,85.50% vs 14.50%,1.53e-121,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,86,fusion,486,2,fusion,5.650,15.03% vs 84.97%,1.11e-123,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,452,maintenanceLine,81,2,fusion,5.580,84.80% vs 15.20%,2.47e-114,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,14,endorsementLine,77,2,endorsementLine,5.500,15.38% vs 84.62%,9.66e-21,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,108,numbersLine,20,2,endorsementLine,5.400,84.38% vs 15.62%,3.82e-28,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,441,numbersLine,83,2,fusion,5.310,84.16% vs 15.84%,2.15e-108,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,95,endorsementLine,430,2,endorsementLine,4.530,18.10% vs 81.90%,5.62e-95,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,109,fusion,438,2,fusion,4.020,19.93% vs 80.07%,4.61e-88,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,fusion,406,increaseLength,102,2,fusion,3.980,79.92% vs 20.08%,4.10e-81,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,85,maintenanceLine,25,2,endorsementLine,3.400,77.27% vs 22.73%,5.95e-16,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,248,increaseLength,82,2,endorsementLine,3.020,75.15% vs 24.85%,3.34e-38,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,434,makeProfessional,172,2,addExample,2.520,71.62% vs 28.38%,3.37e-51,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,185,makeProfessional,82,2,maintenanceLine,2.260,69.29% vs 30.71%,4.90e-19,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,193,makeCasual,91,2,maintenanceLine,2.120,67.96% vs 32.04%,1.13e-17,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,428,makeCasual,204,2,addExample,2.100,67.72% vs 32.28%,2.09e-36,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,185,makeProfessional,88,2,companyName,2.100,67.77% vs 32.23%,1.02e-16,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,388,numbersLine,208,2,addExample,1.870,65.10% vs 34.90%,1.86e-25,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,370,companyName,200,2,addExample,1.850,64.91% vs 35.09%,7.50e-24,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,endorsementLine,190,fusion,343,2,fusion,1.810,35.65% vs 64.35%,7.10e-21,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,92,numbersLine,143,2,numbersLine,1.550,39.15% vs 60.85%,2.54e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,278,makeProfessional,184,2,increaseLength,1.510,60.17% vs 39.83%,6.22e-10,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,68,maintenanceLine,102,2,maintenanceLine,1.500,40.00% vs 60.00%,2.26e-04,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,343,increaseLength,233,2,addExample,1.470,59.55% vs 40.45%,9.06e-11,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,173,makeCasual,119,2,companyName,1.450,59.25% vs 40.75%,7.86e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,maintenanceLine,141,numbersLine,97,2,maintenanceLine,1.450,59.24% vs 40.76%,5.50e-05,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,271,makeCasual,198,2,increaseLength,1.370,57.78% vs 42.22%,1.87e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeProfessional,153,numbersLine,209,2,numbersLine,1.370,42.27% vs 57.73%,3.15e-05,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,265,numbersLine,196,2,increaseLength,1.350,57.48% vs 42.52%,5.50e-06,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeCasual,153,numbersLine,200,2,numbersLine,1.310,43.34% vs 56.66%,4.04e-04,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,increaseLength,188,maintenanceLine,227,2,maintenanceLine,1.210,45.30% vs 54.70%,6.78e-03,True
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,addExample,322,maintenanceLine,285,2,tie,1.130,53.05% vs 46.95%,3.37e-02,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,makeCasual,187,makeProfessional,182,2,tie,1.030,50.68% vs 49.32%,7.13e-01,False
deepseek-ai_DeepSeek-R1-Distill-Qwen-7B,companyName,222,increaseLength,227,2,tie,1.020,49.44% vs 50.56%,7.39e-01,False
