model,mode_1,count_1,mode_2,count_2,total_pairs,winner,ratio,proportions,p_value,significant
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,935,original,213,2,endorsementLine,4.390,81.45% vs 18.55%,1.65e-199,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,834,original,230,2,fusion,3.630,78.38% vs 21.62%,3.76e-151,True
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,763,original,391,2,maintenanceLine,1.950,66.12% vs 33.88%,4.28e-54,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,714,original,444,2,companyName,1.610,61.66% vs 38.34%,3.22e-29,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,645,original,458,2,increaseLength,1.410,58.48% vs 41.52%,1.68e-15,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,623,original,460,2,addExample,1.350,57.53% vs 42.47%,2.48e-12,True
Qwen_Qwen2.5-3B-Instruct-FC,numbersLine,609,original,545,2,numbersLine,1.120,52.77% vs 47.23%,7.71e-03,True
Qwen_Qwen2.5-3B-Instruct-FC,makeProfessional,591,original,546,2,tie,1.080,51.98% vs 48.02%,5.91e-02,False
Qwen_Qwen2.5-3B-Instruct-FC,makeCasual,584,original,559,2,tie,1.040,51.09% vs 48.91%,2.96e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,fusion,814,makeCasual,253,2,fusion,3.220,76.29% vs 23.71%,2.61e-130,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,876,numbersLine,274,2,endorsementLine,3.200,76.17% vs 23.83%,4.37e-139,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,794,increaseLength,248,2,fusion,3.200,76.20% vs 23.80%,1.87e-126,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,805,makeProfessional,263,2,fusion,3.060,75.37% vs 24.63%,1.19e-121,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,261,fusion,796,2,fusion,3.050,24.69% vs 75.31%,8.55e-120,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,789,numbersLine,264,2,fusion,2.990,74.93% vs 25.07%,7.31e-116,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,290,endorsementLine,861,2,endorsementLine,2.970,25.20% vs 74.80%,3.18e-125,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,852,makeCasual,293,2,endorsementLine,2.910,74.41% vs 25.59%,1.02e-120,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,853,makeProfessional,294,2,endorsementLine,2.900,74.37% vs 25.63%,1.65e-120,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,301,fusion,784,2,fusion,2.600,27.74% vs 72.26%,1.60e-95,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,772,increaseLength,326,2,endorsementLine,2.370,70.31% vs 29.69%,8.78e-81,True
Qwen_Qwen2.5-3B-Instruct-FC,fusion,740,maintenanceLine,323,2,fusion,2.290,69.61% vs 30.39%,3.98e-73,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,767,maintenanceLine,386,2,endorsementLine,1.990,66.52% vs 33.48%,1.05e-56,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,399,endorsementLine,700,2,endorsementLine,1.750,36.31% vs 63.69%,9.72e-38,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,656,makeProfessional,457,2,increaseLength,1.440,58.94% vs 41.06%,3.29e-17,True
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,670,makeProfessional,469,2,maintenanceLine,1.430,58.82% vs 41.18%,3.68e-17,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,651,makeCasual,459,2,increaseLength,1.420,58.65% vs 41.35%,3.64e-16,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,670,makeProfessional,484,2,companyName,1.380,58.06% vs 41.94%,9.69e-15,True
Qwen_Qwen2.5-3B-Instruct-FC,endorsementLine,455,fusion,603,2,fusion,1.330,43.01% vs 56.99%,1.24e-10,True
Qwen_Qwen2.5-3B-Instruct-FC,companyName,656,makeCasual,500,2,companyName,1.310,56.75% vs 43.25%,8.66e-11,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,613,makeProfessional,476,2,addExample,1.290,56.29% vs 43.71%,4.33e-09,True
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,648,makeCasual,502,2,maintenanceLine,1.290,56.35% vs 43.65%,1.14e-09,True
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,623,numbersLine,489,2,increaseLength,1.270,56.03% vs 43.97%,1.32e-08,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,607,makeCasual,489,2,addExample,1.240,55.38% vs 44.62%,4.64e-07,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,611,numbersLine,494,2,addExample,1.240,55.29% vs 44.71%,6.44e-07,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,568,increaseLength,492,2,addExample,1.150,53.58% vs 46.42%,9.63e-04,True
Qwen_Qwen2.5-3B-Instruct-FC,addExample,531,maintenanceLine,571,2,tie,1.080,48.19% vs 51.81%,8.84e-02,False
Qwen_Qwen2.5-3B-Instruct-FC,companyName,540,increaseLength,574,2,tie,1.060,48.47% vs 51.53%,1.50e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,addExample,542,companyName,568,2,tie,1.050,48.83% vs 51.17%,2.70e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,companyName,610,numbersLine,587,2,tie,1.040,50.96% vs 49.04%,3.47e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,companyName,574,maintenanceLine,587,2,tie,1.020,49.44% vs 50.56%,5.89e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,increaseLength,561,maintenanceLine,552,2,tie,1.020,50.40% vs 49.60%,7.03e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,maintenanceLine,587,numbersLine,577,2,tie,1.020,50.43% vs 49.57%,6.78e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeCasual,568,numbersLine,581,2,tie,1.020,49.43% vs 50.57%,5.88e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeProfessional,568,numbersLine,579,2,tie,1.020,49.52% vs 50.48%,6.46e-01,False
Qwen_Qwen2.5-3B-Instruct-FC,makeCasual,571,makeProfessional,576,2,tie,1.010,49.78% vs 50.22%,8.35e-01,False
